user_id,pool_acceptance,pickup_flexibility,fare_sensitivity,eco_score,adaptability_score
USER_0066,0.91,0.53,0.11,0.37,55.6
USER_0067,0.62,0.58,0.14,0.94,46.4
USER_0068,0.15,0.95,0.36,0.81,45.3
USER_0069,0.49,0.4,0.26,0.85,39.4
USER_0070,0.76,0.56,0.62,0.93,65.8
USER_0071,0.64,0.38,0.37,0.94,48.1
USER_0072,0.89,0.55,0.68,0.24,72.5
USER_0073,0.75,0.08,0.77,0.13,55.5
USER_0074,0.06,0.78,0.19,0.69,31.5
USER_0075,0.11,0.99,0.92,0.56,61.7
USER_0076,0.65,0.07,0.79,0.33,51.8
USER_0077,0.24,0.8,0.63,0.68,52.5
USER_0078,0.59,0.24,0.91,0.06,58.1
USER_0079,0.79,0.2,0.27,0.05,45.7
USER_0080,0.58,0.69,0.42,0.35,56.5
USER_0081,0.42,0.04,0.09,0.19,20.7
USER_0082,0.65,0.46,0.46,0.72,53.6
USER_0083,0.14,0.0,0.51,0.95,20.9
USER_0084,0.72,0.55,0.62,0.66,63.9
USER_0085,0.7,0.46,0.06,0.65,43.6
USER_0086,0.51,0.92,0.03,0.01,48.9
USER_0087,0.28,0.72,0.42,0.51,45.4
USER_0088,0.8,0.13,0.19,0.82,41.6
USER_0089,0.51,0.35,0.76,0.65,53.7
USER_0090,0.06,0.93,0.67,0.23,50.4
USER_0091,0.92,0.73,0.33,0.85,68.6
USER_0092,0.77,0.59,0.05,0.96,50.0
USER_0093,0.58,0.56,0.18,0.28,45.4
USER_0094,0.44,0.4,0.69,0.21,50.3
USER_0095,0.96,0.59,0.99,0.34,85.8
USER_0096,0.78,0.77,0.33,0.06,64.2
USER_0097,0.53,0.13,0.8,0.87,49.1
USER_0098,0.65,0.97,0.87,0.93,81.2
USER_0099,0.28,0.24,0.05,0.63,19.9
USER_0100,0.2,0.45,0.92,0.76,49.1
USER_0101,0.27,0.02,0.47,0.67,25.5
USER_0102,0.29,0.55,0.96,0.38,56.9
USER_0103,0.74,0.38,0.54,0.63,57.2
USER_0104,0.14,0.25,0.24,0.84,20.3
USER_0105,0.78,0.99,0.97,0.81,90.0
USER_0106,0.52,0.43,0.24,0.08,40.9
USER_0107,0.38,0.41,0.88,0.46,53.9
USER_0108,0.3,0.46,0.17,0.4,30.9
USER_0109,0.51,0.12,0.67,0.75,44.1
USER_0110,0.32,0.39,0.41,0.5,36.8
USER_0111,0.43,0.34,0.97,0.35,56.5
USER_0112,0.74,0.47,0.18,0.71,49.1
USER_0113,0.63,0.86,0.41,0.47,63.3
USER_0114,0.75,0.19,0.64,0.26,54.9
USER_0115,0.71,0.61,0.98,0.89,76.1
USER_0116,0.82,0.04,0.3,0.11,43.0
USER_0117,0.2,0.32,0.4,0.02,29.6
USER_0118,1.0,0.47,0.46,0.14,67.9
USER_0119,0.48,0.07,0.25,0.16,28.8
USER_0120,0.72,0.54,0.82,0.54,69.6
USER_0121,0.68,0.31,0.09,0.62,39.2
USER_0122,0.57,0.99,0.7,0.45,73.5
USER_0123,1.0,0.63,0.53,0.2,74.8
USER_0124,0.22,0.24,0.24,0.13,23.2
USER_0125,0.42,0.1,0.49,0.49,34.5
USER_0126,0.13,0.04,0.83,0.57,31.3
USER_0127,0.18,0.09,0.45,0.3,23.4
USER_0128,0.71,0.68,0.12,0.22,52.4
USER_0129,0.0,0.85,0.04,0.08,26.7
USER_0130,0.89,0.16,0.78,0.03,63.8
USER_0131,0.63,0.4,0.33,0.11,47.1
USER_0132,0.44,0.35,0.93,0.74,56.0
USER_0133,0.33,0.64,0.62,0.34,51.0
USER_0134,0.13,0.18,0.44,0.03,23.8
USER_0135,0.92,0.95,0.56,0.51,82.1
USER_0136,0.71,0.73,0.46,0.54,64.1
USER_0137,0.34,0.96,0.91,0.43,69.7
USER_0138,0.07,0.28,0.46,0.11,25.0
USER_0139,0.33,0.59,0.1,0.75,33.9
USER_0140,0.18,0.73,0.6,0.69,47.1
USER_0141,0.79,0.71,0.62,0.39,71.5
USER_0142,0.72,0.02,0.77,0.38,52.5
USER_0143,0.5,1.0,0.93,0.16,77.9
USER_0144,0.89,0.93,0.44,0.75,76.7
USER_0145,0.18,0.12,0.35,0.6,21.3
USER_0146,0.45,0.54,0.49,0.09,48.9
USER_0147,0.71,0.31,0.9,0.38,64.7
USER_0148,0.07,0.88,0.98,0.9,58.6
USER_0149,0.37,0.7,0.97,0.45,64.9
USER_0150,0.57,0.22,0.23,0.32,36.3
USER_0151,0.37,0.03,0.5,0.64,30.7
USER_0152,0.48,0.29,0.26,0.2,35.7
USER_0153,0.61,0.04,0.37,0.52,36.7
USER_0154,0.37,0.14,0.03,0.67,19.9
USER_0155,0.11,0.64,0.16,0.85,28.4
USER_0156,0.14,0.75,0.4,0.69,40.1
USER_0157,0.53,0.47,0.36,0.38,46.1
USER_0158,0.17,0.6,0.28,0.77,33.2
USER_0159,0.89,0.16,0.23,0.9,47.3
USER_0160,0.83,0.32,0.75,0.48,65.3
USER_0161,0.35,0.71,0.29,0.0,44.0
USER_0162,0.83,0.36,0.71,0.88,65.3
USER_0163,0.53,0.35,0.37,0.17,42.8
USER_0164,0.16,0.19,0.8,0.13,36.1
USER_0165,0.61,0.59,0.17,0.31,47.2
USER_0166,0.68,0.81,0.16,0.38,56.3
USER_0167,0.08,0.47,0.68,0.8,37.7
USER_0168,0.31,0.12,0.91,0.39,43.3
USER_0169,0.01,0.84,0.14,0.05,29.8
USER_0170,0.32,0.07,0.07,0.64,17.0
USER_0171,0.34,0.47,0.93,0.67,55.6
USER_0172,0.63,0.26,0.12,0.81,36.6
USER_0173,0.2,0.94,0.25,0.4,43.7
USER_0174,0.03,0.74,0.93,0.09,51.3
USER_0175,0.32,0.57,0.8,0.55,53.9
USER_0176,0.83,0.67,0.34,0.12,63.5
USER_0177,0.4,0.53,0.95,0.02,60.4
USER_0178,0.42,0.15,0.57,0.78,38.4
USER_0179,0.47,0.71,0.07,0.4,42.2
USER_0180,0.75,0.49,0.7,0.53,65.7
USER_0181,0.48,0.63,0.54,0.66,54.3
USER_0182,0.09,0.05,0.57,0.4,22.2
USER_0183,0.21,0.14,0.99,0.05,42.3
USER_0184,0.19,0.59,0.15,0.25,29.8
USER_0185,0.51,0.46,0.66,0.19,54.0
USER_0186,0.03,0.23,0.46,0.98,21.9
USER_0187,0.28,0.24,0.27,0.74,26.5
USER_0188,0.61,0.63,0.69,0.45,64.0
USER_0189,0.35,0.06,0.67,0.06,35.9
USER_0190,0.71,0.43,0.86,0.12,67.1
USER_0191,0.39,0.52,0.88,0.81,57.6
USER_0192,0.98,0.31,0.56,0.95,65.3
USER_0193,0.97,0.82,0.33,0.03,73.3
USER_0194,0.8,0.06,0.53,0.91,49.7
USER_0195,0.95,0.87,0.36,0.38,74.9
USER_0196,0.2,0.72,0.28,0.21,38.0
USER_0197,0.75,0.45,0.55,0.1,60.0
USER_0198,0.32,0.92,0.66,0.77,60.2
USER_0199,0.73,0.7,0.59,0.47,67.9
USER_0200,0.37,0.93,0.95,0.83,71.2
USER_0201,0.29,0.47,0.3,0.23,34.7
USER_0202,0.96,0.45,0.37,0.68,63.0
USER_0203,0.21,0.53,0.67,0.12,44.4
USER_0204,0.76,0.07,0.6,0.09,50.5
USER_0205,0.67,0.91,0.0,0.13,54.1
USER_0206,0.3,0.67,0.31,0.81,41.4
USER_0207,0.46,0.62,0.25,0.66,44.5
USER_0208,0.14,0.93,0.84,0.17,58.7
USER_0209,0.92,0.99,0.87,0.38,92.6
USER_0210,0.97,0.16,0.28,0.76,52.0
USER_0211,0.73,0.75,0.1,0.29,54.7
USER_0212,0.85,0.58,0.21,0.92,57.7
USER_0213,0.08,0.46,0.18,0.91,22.4
USER_0214,0.38,0.98,0.24,0.55,51.8
USER_0215,0.33,0.85,0.23,0.63,45.6
USER_0216,0.56,0.7,0.48,0.65,57.8
USER_0217,0.18,0.38,0.32,0.26,28.2
USER_0218,0.56,0.67,0.56,0.37,59.3
USER_0219,0.65,0.53,0.34,0.14,52.1
USER_0220,0.13,0.25,0.81,0.92,37.0
USER_0221,0.13,0.45,0.95,0.72,47.2
USER_0222,0.04,0.21,0.4,0.05,19.9
USER_0223,0.76,0.5,0.05,0.55,46.9
USER_0224,0.33,0.72,0.24,0.34,42.0
USER_0225,0.23,0.04,0.1,0.82,13.4
USER_0226,0.78,0.77,0.34,0.34,64.5
USER_0227,0.14,0.02,0.65,0.64,25.7
USER_0228,0.43,0.52,0.52,0.17,48.4
USER_0229,0.74,0.57,0.24,0.56,53.9
USER_0230,0.57,0.76,0.77,0.29,68.7
USER_0231,0.55,0.76,0.13,0.16,48.7
USER_0232,0.16,0.42,0.23,0.62,25.9
USER_0233,0.18,0.07,0.68,0.64,29.7
USER_0234,0.58,0.69,0.2,0.98,49.9
USER_0235,0.02,0.51,0.68,0.67,36.5
USER_0236,0.87,0.33,0.98,0.52,74.1
USER_0237,0.35,0.23,0.83,0.91,45.8
USER_0238,0.42,0.12,0.16,0.83,25.2
USER_0239,0.26,0.3,0.52,0.55,35.0
USER_0240,0.88,0.46,0.42,0.51,61.6
USER_0241,0.64,0.48,0.99,0.94,69.7
USER_0242,0.45,0.58,0.96,0.62,64.2
USER_0243,0.59,0.36,0.13,0.71,38.3
USER_0244,0.38,0.92,0.91,0.09,70.1
USER_0245,0.47,0.5,0.19,0.72,39.5
USER_0246,0.36,0.42,0.32,0.26,36.6
USER_0247,0.41,0.05,0.35,0.12,28.4
USER_0248,0.31,0.6,0.29,0.85,39.1
USER_0249,0.08,0.6,0.85,0.69,46.7
USER_0250,0.04,0.58,0.33,0.41,28.9
USER_0251,0.17,0.89,0.82,0.43,58.1
USER_0252,0.25,0.76,0.99,0.2,62.5
USER_0253,0.89,0.87,0.84,0.01,86.9
USER_0254,0.61,0.06,0.35,0.35,36.7
USER_0255,0.96,0.32,0.71,0.15,69.3
USER_0256,0.34,0.32,0.53,0.42,39.1
USER_0257,0.4,0.66,0.79,0.83,59.5
USER_0258,0.72,0.45,0.15,0.11,46.8
USER_0259,0.58,0.78,0.64,0.09,65.8
USER_0260,0.53,0.38,0.77,0.9,55.7
USER_0261,0.58,0.22,0.76,0.75,52.6
USER_0262,0.58,0.29,0.96,0.05,60.7
USER_0263,0.77,0.18,0.06,0.08,38.0
USER_0264,0.67,0.2,0.35,0.68,43.3
USER_0265,0.96,0.22,0.48,0.37,59.4
USER_0266,0.95,0.02,0.31,0.72,47.9
USER_0267,0.42,0.72,0.31,0.4,47.7
USER_0268,0.04,0.4,0.18,0.97,19.0
USER_0269,0.01,0.02,0.81,0.69,25.3
USER_0270,0.12,0.37,0.91,0.05,43.2
USER_0271,0.07,0.91,0.08,0.33,32.5
USER_0272,0.37,0.51,0.15,0.56,34.6
USER_0273,0.05,0.99,0.23,0.14,38.6
USER_0274,0.62,0.54,0.51,0.0,56.3
USER_0275,0.19,0.96,0.79,0.08,60.1
USER_0276,0.51,0.2,0.07,0.52,28.5
USER_0277,0.1,0.29,0.64,0.63,31.9
USER_0278,0.83,0.7,0.15,0.09,58.7
USER_0279,0.78,0.99,0.97,0.67,90.0
USER_0280,0.39,0.83,0.9,0.62,67.5
USER_0281,0.91,0.55,0.95,0.94,81.4
USER_0282,0.19,0.09,0.11,0.84,13.6
USER_0283,0.81,0.36,0.49,0.94,57.9
USER_0284,0.55,0.09,0.17,0.97,29.8
USER_0285,0.33,0.31,0.6,0.44,40.5
USER_0286,0.08,0.26,0.23,0.49,17.9
USER_0287,0.17,0.39,0.77,0.28,41.6
USER_0288,0.86,0.84,0.64,0.51,78.8
USER_0289,0.61,0.15,0.57,0.15,46.0
USER_0290,0.24,0.31,0.83,0.67,43.8
USER_0291,0.5,0.26,0.5,0.02,42.8
USER_0292,0.11,0.3,0.27,0.24,21.5
USER_0293,0.1,0.36,0.62,0.21,33.4
USER_0294,0.91,0.24,0.96,0.94,72.4
USER_0295,0.46,0.94,0.6,0.14,64.6
USER_0296,0.36,0.42,0.63,0.89,45.9
USER_0297,0.95,0.11,0.93,0.12,69.2
USER_0298,0.4,0.47,0.52,0.65,45.7
USER_0299,0.34,0.18,1.0,0.32,49.0
USER_0300,0.27,0.22,0.16,0.32,22.2
USER_0301,0.57,0.29,0.54,1.0,47.7
USER_0302,0.56,0.12,0.21,0.23,32.3
USER_0303,0.02,0.72,0.45,0.2,35.9
USER_0304,0.65,0.79,0.17,0.59,54.8
USER_0305,0.79,0.39,0.22,0.74,49.9
USER_0306,0.62,0.69,0.21,0.98,51.8
USER_0307,0.87,0.39,0.32,0.7,56.1
USER_0308,0.28,0.16,0.13,0.56,19.9
USER_0309,0.19,0.4,0.81,0.41,43.9
USER_0310,0.7,0.56,0.22,0.6,51.4
USER_0311,0.19,0.04,0.42,0.6,21.4
USER_0312,0.09,0.65,0.02,0.22,23.7
USER_0313,0.1,0.74,0.1,0.67,29.2
USER_0314,0.77,0.86,0.9,0.2,83.6
USER_0315,0.03,0.1,0.84,0.49,29.4
USER_0316,0.29,0.0,0.84,0.26,36.8
USER_0317,0.13,0.07,0.41,0.31,19.6
USER_0318,0.75,0.92,0.14,0.61,61.8
USER_0319,0.5,0.77,0.11,0.06,46.4
USER_0320,0.21,0.84,0.61,0.01,51.9
USER_0321,0.75,0.52,0.83,0.13,70.5
USER_0322,0.75,0.53,0.9,0.17,72.9
USER_0323,0.52,0.3,0.29,0.2,38.5
USER_0324,0.28,0.84,0.32,0.77,46.0
USER_0325,0.59,0.83,0.1,0.45,51.5
USER_0326,0.93,0.39,0.77,0.47,72.0
USER_0327,0.05,0.33,0.28,0.64,20.3
USER_0328,0.27,0.74,0.48,0.73,47.4
USER_0329,0.28,0.03,0.93,0.0,40.0
USER_0330,0.63,0.86,0.75,0.86,73.5
USER_0331,0.65,0.45,0.05,0.99,41.0
USER_0332,0.21,0.44,0.01,0.12,21.9
USER_0333,0.22,0.67,0.79,0.65,52.6
USER_0334,0.93,0.65,0.55,0.0,73.2
USER_0335,0.76,0.27,0.72,0.05,60.1
USER_0336,0.93,0.94,0.16,0.29,70.2
USER_0337,0.83,0.99,0.87,0.85,89.0
USER_0338,0.4,0.53,0.77,0.65,55.0
USER_0339,0.12,0.56,0.89,0.45,48.3
USER_0340,0.63,0.55,0.34,0.44,51.9
USER_0341,0.35,0.49,0.28,0.47,37.1
USER_0342,0.43,0.95,0.15,0.31,50.2
USER_0343,0.43,0.24,0.93,0.88,52.3
USER_0344,0.94,0.11,0.18,0.57,46.3
USER_0345,0.07,0.93,0.12,0.48,34.3
USER_0346,0.19,0.21,0.19,0.47,19.6
USER_0347,0.61,0.75,0.77,0.94,70.0
USER_0348,0.88,0.2,0.89,0.72,67.9
USER_0349,0.92,0.96,0.81,0.14,89.9
USER_0350,0.56,0.79,0.56,0.44,62.9
USER_0351,0.03,0.92,0.99,0.29,58.5
USER_0352,0.36,0.95,0.07,0.99,45.0
USER_0353,0.92,0.08,0.87,0.42,65.3
USER_0354,0.5,0.43,0.43,0.07,45.8
USER_0355,0.73,0.65,0.46,0.41,62.5
USER_0356,0.27,0.8,0.13,0.32,38.7
USER_0357,0.03,0.24,0.03,0.6,9.3
USER_0358,0.58,0.91,0.32,0.23,60.1
USER_0359,0.83,0.22,0.17,0.04,44.9
USER_0360,0.99,0.87,0.48,0.1,80.1
USER_0361,0.85,0.51,0.15,0.28,53.8
USER_0362,0.55,0.52,0.14,0.35,41.8
USER_0363,0.61,0.37,0.88,0.83,61.9
USER_0364,0.82,0.1,0.92,0.27,63.4
USER_0365,0.02,0.35,0.96,0.03,40.1
USER_0366,0.95,0.43,0.68,0.78,71.3
USER_0367,0.53,0.48,0.77,0.87,58.7
USER_0368,0.95,0.74,0.84,0.49,85.4
USER_0369,0.76,0.35,0.66,0.28,60.7
USER_0370,0.15,0.41,0.33,0.77,28.2
USER_0371,0.17,0.91,0.16,0.01,38.9
USER_0372,0.35,0.75,0.24,0.92,43.7
USER_0373,0.26,0.02,0.84,0.87,36.2
USER_0374,0.44,0.81,0.7,0.54,62.9
USER_0375,0.6,0.99,0.46,0.28,67.5
USER_0376,0.44,0.94,0.03,0.03,46.7
USER_0377,0.06,0.84,0.27,1.0,35.7
USER_0378,0.98,0.63,0.73,0.76,80.0
USER_0379,0.43,0.28,0.51,0.34,40.9
USER_0380,0.85,0.65,0.44,0.02,66.7
USER_0381,0.07,0.7,0.31,0.64,33.1
USER_0382,0.81,0.28,0.61,0.99,59.1
USER_0383,0.17,0.26,0.97,0.71,43.7
USER_0384,0.68,0.4,0.9,0.08,66.2
USER_0385,0.66,0.64,0.03,0.4,46.5
USER_0386,0.91,0.29,0.48,0.11,59.5
USER_0387,0.32,0.56,0.33,0.91,39.5
USER_0388,0.11,0.9,0.51,0.33,46.7
USER_0389,0.86,0.3,0.61,0.73,61.7
USER_0390,0.33,0.97,0.2,0.08,48.3
USER_0391,0.23,0.47,0.78,0.13,46.7
USER_0392,0.49,0.1,0.48,0.68,37.0
USER_0393,0.15,0.06,0.99,0.84,37.5
USER_0394,0.3,0.34,0.03,0.2,23.1
USER_0395,0.39,0.26,0.19,0.42,29.1
USER_0396,0.28,0.84,0.69,0.62,57.1
USER_0397,0.45,0.74,0.7,0.8,61.2
USER_0398,0.38,0.88,0.58,0.63,59.0
USER_0399,0.77,0.59,0.97,0.1,77.6
USER_0400,0.92,0.44,0.42,0.54,62.6
USER_0401,0.1,0.27,0.42,0.88,24.7
USER_0402,0.82,0.58,0.91,0.87,77.5
USER_0403,0.93,0.62,0.54,0.59,72.0
USER_0404,0.69,0.39,0.35,1.0,49.8
USER_0405,1.0,0.94,0.72,0.11,89.8
USER_0406,0.34,0.64,0.62,0.48,51.4
USER_0407,0.83,0.84,0.31,0.78,67.7
USER_0408,0.67,0.62,0.3,0.14,54.4
USER_0409,0.32,0.32,0.4,0.97,34.4
USER_0410,0.7,0.74,0.07,0.35,52.3
USER_0411,0.51,0.23,0.94,0.35,55.5
USER_0412,0.19,0.6,0.18,0.21,31.0
USER_0413,0.17,0.4,0.19,0.29,24.5
USER_0414,0.71,0.15,0.65,0.58,52.4
USER_0415,0.71,0.41,0.72,0.43,62.3
USER_0416,0.53,0.31,0.74,0.19,52.7
USER_0417,0.5,0.11,0.38,0.81,34.7
USER_0418,0.18,0.82,0.87,0.06,57.9
USER_0419,0.43,0.5,0.54,0.83,48.4
USER_0420,0.87,0.35,0.44,0.27,58.5
USER_0421,0.85,0.5,0.81,0.5,73.3
USER_0422,0.66,0.75,0.24,0.38,56.1
USER_0423,1.0,0.02,0.86,0.57,66.4
USER_0424,0.89,0.55,0.54,0.8,68.3
USER_0425,0.15,0.48,0.9,0.99,47.4
USER_0426,0.4,0.89,0.2,0.31,48.7
USER_0427,0.13,0.56,0.94,0.55,50.2
USER_0428,0.47,0.14,0.69,0.47,43.7
USER_0429,0.78,0.39,0.62,1.0,61.5
USER_0430,0.16,0.62,0.42,0.81,37.6
USER_0431,0.88,0.05,0.96,0.4,65.5
USER_0432,0.57,0.88,0.44,0.48,62.4
USER_0433,0.75,0.07,0.5,0.25,47.1
USER_0434,0.05,0.03,0.78,0.76,26.3
USER_0435,0.09,0.0,0.28,0.85,12.0
USER_0436,0.62,0.68,0.29,0.96,53.9
USER_0437,0.84,0.46,0.78,0.57,70.8
USER_0438,0.87,0.1,0.13,0.67,41.7
USER_0439,0.69,0.86,0.82,0.45,78.0
USER_0440,0.2,0.2,0.63,0.61,32.9
USER_0441,0.2,0.33,0.54,0.35,34.1
USER_0442,0.88,0.18,0.23,0.74,47.5
USER_0443,0.11,0.93,0.79,0.02,56.0
USER_0444,0.69,0.76,0.8,0.03,74.4
USER_0445,0.53,0.72,0.48,0.72,57.2
USER_0446,0.42,0.04,0.39,0.93,29.7
USER_0447,0.44,0.52,0.25,0.63,40.7
USER_0448,0.95,0.58,0.75,0.73,77.9
USER_0449,0.86,0.38,0.64,0.82,65.0
USER_0450,0.86,0.32,0.21,0.36,50.3
USER_0451,0.41,0.85,0.79,0.11,65.6
USER_0452,0.11,0.02,0.88,0.93,31.4
USER_0453,1.0,0.63,0.06,0.94,60.7
USER_0454,0.15,0.39,0.77,0.44,40.8
USER_0455,0.52,0.67,0.85,0.22,66.4
USER_0456,0.26,0.2,0.99,0.89,46.1
USER_0457,0.51,0.24,0.24,0.71,34.8
USER_0458,0.3,0.59,0.37,0.01,40.8
USER_0459,0.9,0.98,0.97,0.11,94.5
USER_0460,0.97,0.97,0.09,0.98,70.6
USER_0461,0.41,0.25,0.52,0.04,39.5
USER_0462,0.07,0.1,0.51,0.28,21.1
USER_0463,0.66,0.59,0.61,0.55,62.4
USER_0464,0.38,0.42,0.33,0.18,37.7
USER_0465,0.99,0.76,0.93,0.23,90.3
USER_0466,0.09,0.53,0.27,0.35,27.6
USER_0467,0.12,0.51,0.65,0.27,39.6
USER_0468,0.7,0.65,0.5,0.8,62.5
USER_0469,0.76,0.13,0.27,0.5,42.4
USER_0470,0.47,0.68,0.19,0.28,44.9
USER_0471,0.28,0.49,0.96,0.31,54.7
USER_0472,0.31,0.82,0.56,0.04,53.8
USER_0473,0.34,0.14,0.6,0.05,35.8
USER_0474,0.23,0.3,0.78,0.72,41.6
USER_0475,0.85,0.95,0.08,0.11,64.9
USER_0476,0.07,0.55,0.71,0.48,40.6
USER_0477,0.41,0.93,0.17,0.84,49.4
USER_0478,0.75,0.69,0.74,0.37,72.9
USER_0479,0.0,0.93,0.14,0.35,32.1
USER_0480,0.88,0.32,0.83,0.87,69.7
USER_0481,0.71,0.09,0.68,0.86,51.5
USER_0482,0.07,0.8,0.39,0.88,38.5
USER_0483,0.89,0.8,0.36,0.57,70.4
USER_0484,0.49,0.62,0.15,0.95,42.7
USER_0485,0.65,0.58,0.9,0.82,70.4
USER_0486,0.88,0.91,0.12,0.42,66.1
USER_0487,0.88,0.18,0.47,0.63,54.7
USER_0488,0.41,0.62,0.24,0.12,42.2
USER_0489,0.24,0.05,1.0,0.55,41.1
USER_0490,0.26,0.14,0.59,0.26,32.3
USER_0491,0.77,0.44,0.15,0.28,48.5
USER_0492,0.93,0.82,0.67,0.13,81.9
USER_0493,0.07,0.73,0.99,0.36,54.4
USER_0494,0.02,0.97,0.61,0.48,48.2
USER_0495,0.82,0.04,0.46,0.6,47.8
USER_0496,0.39,0.38,0.29,0.3,35.7
USER_0497,0.28,0.16,0.09,0.79,18.7
USER_0498,0.19,0.04,0.23,0.52,15.7
USER_0499,0.35,0.26,0.55,0.64,38.3
USER_0500,0.97,0.24,0.75,0.28,68.5
USER_0501,0.98,0.42,0.88,0.81,78.2
USER_0502,0.33,0.14,0.79,0.62,41.1
USER_0503,0.96,0.49,0.13,0.86,57.0
USER_0504,0.3,0.92,0.77,0.16,62.7
USER_0505,0.85,0.75,0.58,0.38,73.9
USER_0506,0.21,0.84,0.47,0.11,47.7
USER_0507,0.83,0.8,0.57,0.22,74.3
USER_0508,0.35,0.39,0.01,0.39,26.0
USER_0509,0.2,0.71,0.07,0.89,31.4
USER_0510,0.93,0.75,0.53,0.56,75.6
USER_0511,0.21,0.21,0.17,0.33,19.8
USER_0512,0.99,0.86,0.55,0.75,81.9
USER_0513,0.11,0.46,0.35,0.02,28.7
USER_0514,0.01,0.02,0.91,0.37,28.3
USER_0515,0.87,0.64,0.95,0.6,82.5
USER_0516,0.59,0.68,0.98,0.58,73.4
USER_0517,0.42,0.55,0.9,0.61,60.3
USER_0518,0.08,0.21,0.99,0.21,39.2
USER_0519,0.57,0.48,0.71,0.34,58.5
USER_0520,0.39,0.4,0.96,0.93,56.4
USER_0521,0.48,0.97,0.64,0.97,67.5
USER_0522,0.63,0.82,0.81,0.31,74.1
USER_0523,0.64,0.76,0.13,0.64,52.3
USER_0524,0.96,0.18,0.68,0.24,64.2
USER_0525,0.66,0.33,0.93,0.37,64.2
USER_0526,0.34,0.38,0.54,0.79,41.2
USER_0527,0.33,0.49,0.19,0.5,33.6
USER_0528,0.48,0.03,0.53,0.85,36.0
USER_0529,0.26,0.59,0.71,0.63,49.4
USER_0530,0.38,0.36,0.77,0.63,49.1
USER_0531,0.84,0.56,0.52,0.03,66.0
USER_0532,0.86,0.01,0.22,0.75,41.3
USER_0533,0.63,0.32,0.93,0.98,62.7
USER_0534,0.58,0.77,0.77,0.47,69.4
USER_0535,0.43,0.5,0.27,0.16,40.3
