district,hour,demand,supply,weather_score,event_score,historical_congestion,pool_acceptance,pickup_flexibility,fare_sensitivity,risk_score
D10,6,73,68,0.04,0.11,0.64,0.06,0.51,0.36,0.31
D12,8,171,77,0.98,0.63,0.95,0.56,0.3,0.26,0.57
D12,5,48,72,0.45,0.24,0.69,0.76,0.64,0.38,0.25
D3,16,22,39,0.36,0.28,0.93,0.5,0.91,0.58,0.27
D12,15,78,43,0.29,0.9,0.78,0.59,0.01,0.73,0.46
D7,22,95,76,0.17,0.47,0.73,0.9,0.13,0.61,0.36
D4,2,61,123,0.79,0.39,0.41,0.2,0.12,0.68,0.16
D9,20,51,61,0.96,0.72,0.32,0.1,0.92,0.87,0.21
D3,3,61,61,0.41,0.91,0.85,0.69,0.66,0.87,0.33
D5,9,155,100,0.95,0.03,0.91,0.82,0.95,0.86,0.45
D3,4,20,85,0.82,0.45,0.45,0.85,0.58,0.15,0.12
D7,20,21,110,0.48,0.61,0.01,0.64,0.46,0.25,0.04
D5,21,49,100,0.67,0.32,0.79,0.83,0.79,0.5,0.23
D9,9,181,76,0.43,0.77,0.29,0.7,0.16,0.36,0.48
D7,11,28,51,0.56,0.97,0.01,0.09,0.38,0.13,0.1
D2,9,163,95,0.06,0.94,0.8,0.76,0.47,0.29,0.45
D4,12,68,30,0.7,0.27,0.52,0.18,0.3,0.98,0.49
D9,10,92,113,0.05,0.23,0.69,0.24,0.37,0.35,0.27
D12,21,72,112,0.82,0.96,0.91,0.39,0.08,0.42,0.28
D2,15,119,69,0.82,0.46,0.54,0.31,0.2,0.01,0.41
D10,7,174,53,0.24,0.21,0.5,0.32,0.34,0.72,0.68
D9,7,138,90,0.32,0.71,0.29,0.17,0.8,0.41,0.33
D10,7,151,67,0.48,0.28,0.31,0.29,0.18,0.1,0.46
D5,12,95,72,0.6,0.27,0.8,0.02,0.35,0.97,0.38
D2,1,58,102,0.29,0.88,0.45,0.47,0.06,0.78,0.18
D4,11,25,112,0.59,0.16,0.16,0.77,0.56,0.73,0.07
D12,9,177,96,0.3,0.06,0.09,0.86,0.61,0.96,0.35
D12,11,26,109,0.06,0.27,0.47,0.82,0.87,0.41,0.13
D7,10,88,45,0.0,0.61,0.46,0.42,0.82,0.72,0.43
D12,14,20,66,0.1,0.12,0.65,0.73,0.29,0.21,0.17
D8,15,102,66,0.79,0.47,0.47,0.29,0.14,0.7,0.36
D3,16,100,93,0.96,0.63,0.14,0.06,0.16,0.01,0.22
D1,1,109,115,0.43,0.85,0.51,0.68,0.97,0.13,0.26
D4,17,191,57,0.51,0.23,0.91,0.65,0.67,0.43,0.77
D2,11,80,62,0.15,0.82,0.16,0.8,0.04,0.01,0.26
D8,18,195,79,0.55,0.23,0.69,0.62,0.14,0.46,0.57
D4,22,39,89,0.14,0.68,0.59,0.16,0.49,0.52,0.19
D2,17,211,92,0.61,0.43,0.75,0.85,0.21,0.62,0.55
D6,16,93,53,0.93,0.11,0.15,0.63,0.8,0.1,0.34
D6,5,23,66,0.2,0.71,0.94,0.81,0.57,0.18,0.23
D10,14,23,106,0.76,0.22,0.62,0.77,0.61,0.61,0.15
D4,2,108,106,0.02,0.18,0.85,0.3,0.46,0.66,0.34
D6,5,37,117,0.38,0.36,0.25,0.07,0.26,0.03,0.1
D2,2,85,77,0.11,0.65,0.74,0.18,0.59,0.54,0.33
D10,0,52,87,0.35,0.23,0.78,0.09,0.72,0.78,0.25
D12,12,102,102,0.17,0.18,0.4,0.24,0.37,0.07,0.25
D2,20,47,64,0.37,0.01,0.38,0.46,0.5,0.41,0.2
D10,13,29,94,0.42,0.47,0.66,0.91,0.84,0.33,0.18
D4,12,61,114,0.3,0.43,0.09,0.87,0.15,0.91,0.11
D8,3,28,89,0.66,0.23,0.74,0.72,0.55,0.19,0.19
D7,6,34,128,0.92,0.05,0.04,0.02,0.35,0.32,0.06
D12,21,76,98,0.4,0.43,0.19,0.34,0.7,0.9,0.17
D9,9,234,107,0.19,0.79,0.66,0.68,0.02,0.33,0.51
D8,6,41,93,0.27,0.72,0.1,0.13,0.67,0.53,0.1
D5,20,60,116,0.85,0.86,0.97,0.8,0.1,0.03,0.27
D2,14,90,85,0.57,0.01,0.87,0.91,0.06,0.98,0.35
D5,14,42,54,0.46,0.97,0.63,0.35,0.72,0.82,0.25
D8,3,110,35,0.15,0.34,0.82,0.71,0.64,0.63,0.71
D10,22,53,92,0.45,0.99,0.89,0.15,0.89,0.06,0.27
D9,22,28,89,0.28,0.25,0.26,0.69,0.52,0.07,0.1
D12,5,68,126,0.94,0.47,0.85,0.02,0.53,0.54,0.25
D12,23,70,89,0.88,0.35,0.19,0.15,0.71,0.29,0.18
D12,19,199,86,0.08,0.36,0.41,0.71,0.32,0.62,0.49
D9,4,50,127,0.52,0.84,0.56,0.71,0.04,0.6,0.17
D1,19,170,78,0.23,0.75,0.71,0.64,0.23,0.84,0.52
D9,11,77,43,0.41,0.99,0.03,0.48,0.24,0.28,0.32
D7,0,55,65,0.88,0.61,0.29,0.67,0.34,0.58,0.2
D9,7,246,64,0.53,0.46,0.61,0.77,0.94,0.78,0.8
D8,0,27,55,0.33,0.09,0.36,0.97,0.8,0.49,0.15
D1,4,55,77,0.21,1.0,0.78,0.89,0.94,0.83,0.27
D12,21,104,57,0.8,0.55,0.65,0.79,1.0,0.13,0.44
D8,5,87,91,0.62,0.7,0.23,0.69,0.43,0.73,0.21
D8,20,99,115,0.47,0.41,0.15,0.57,0.23,0.94,0.18
D11,2,95,109,0.22,0.55,0.63,0.12,0.56,0.33,0.27
D3,14,70,71,0.33,0.94,0.45,0.17,0.88,0.37,0.26
D1,4,48,111,0.96,0.17,0.17,0.82,0.47,0.08,0.11
D8,23,29,68,0.52,0.29,0.33,0.8,0.51,0.64,0.14
D3,13,101,30,0.4,0.15,0.3,0.61,0.13,0.55,0.65
D3,17,168,70,0.52,0.79,0.11,0.44,0.42,0.04,0.45
D1,15,84,44,0.78,0.06,0.55,0.03,0.39,0.75,0.44
D11,5,23,89,0.34,0.08,0.76,0.33,0.35,0.83,0.18
D5,23,80,49,0.18,0.3,0.58,0.42,0.89,0.91,0.4
D10,13,29,116,0.58,0.51,0.83,0.49,0.06,0.55,0.2
D7,23,53,77,0.67,0.41,0.13,0.93,0.97,0.45,0.15
D10,7,162,83,0.71,0.04,0.44,0.11,0.01,0.88,0.43
D9,6,80,39,0.88,0.96,0.61,0.52,0.95,0.4,0.48
D12,7,183,69,0.37,0.95,0.68,0.37,0.55,0.66,0.6
D7,12,84,106,0.08,0.28,0.7,0.99,0.7,0.62,0.27
D9,5,20,34,0.96,0.73,0.73,0.86,0.19,0.37,0.24
D8,17,209,64,0.44,0.58,0.65,0.44,0.65,0.09,0.7
D12,1,47,124,0.62,0.24,0.09,1.0,0.88,0.02,0.08
D2,7,152,97,0.67,0.26,0.7,0.51,0.14,0.43,0.41
D1,10,36,127,0.55,0.49,0.72,0.17,0.13,0.48,0.18
D7,0,32,43,0.21,0.42,0.99,0.56,0.3,0.82,0.31
D7,21,30,57,0.76,0.29,0.69,0.23,0.16,0.41,0.22
D8,5,61,125,0.8,0.81,0.69,0.64,0.11,0.28,0.21
D5,15,118,90,0.55,0.48,0.51,0.94,0.68,0.46,0.33
D3,19,193,80,0.49,0.65,0.87,0.79,0.21,0.24,0.59
D12,11,100,102,0.11,0.19,1.0,0.27,0.67,0.09,0.36
D8,10,29,37,0.08,0.53,0.78,0.3,0.86,0.11,0.28
D6,9,150,62,0.34,0.32,0.61,0.07,0.65,0.32,0.54
D11,2,78,79,0.31,0.53,0.08,0.29,0.12,0.01,0.19
D3,12,88,99,0.95,0.78,0.73,0.09,0.57,0.22,0.29
D1,2,49,124,0.78,0.77,0.71,0.5,0.39,0.79,0.2
D3,14,36,104,0.66,0.35,0.78,0.71,0.34,0.23,0.2
D5,15,39,77,0.52,0.69,0.12,0.75,0.32,0.11,0.11
D3,12,92,31,0.17,0.94,0.65,0.06,0.93,0.95,0.64
D1,16,56,30,0.98,0.63,0.3,0.34,0.74,0.62,0.38
D5,2,23,129,0.38,0.15,0.76,0.29,0.13,0.06,0.17
D10,19,183,107,0.11,0.68,0.24,0.1,0.48,0.06,0.35
D7,10,44,32,0.49,0.1,0.68,0.36,0.32,0.61,0.37
D7,20,28,115,0.87,0.87,0.29,0.3,0.98,0.54,0.1
D11,18,216,61,0.89,0.52,0.01,0.63,0.98,0.07,0.64
D9,21,93,63,0.01,0.39,0.63,0.88,0.32,0.22,0.38
D10,10,62,103,0.89,0.06,0.11,0.45,0.35,0.93,0.13
D10,15,113,51,0.27,0.38,0.66,0.75,0.6,0.57,0.52
D12,20,89,31,0.04,0.9,0.93,0.15,0.48,0.44,0.68
D3,2,113,95,0.85,0.02,0.97,0.89,0.21,0.25,0.39
D7,21,51,45,0.86,0.47,0.24,0.15,0.66,0.13,0.25
D1,5,95,30,0.6,0.93,0.81,0.19,0.33,0.4,0.71
D4,13,91,77,0.57,0.39,0.35,0.11,0.65,0.92,0.28
D4,23,69,42,0.81,0.43,0.9,0.31,0.38,0.05,0.46
D5,17,144,102,0.79,0.58,0.79,0.55,0.7,0.99,0.4
D7,16,63,37,0.89,0.46,0.07,0.99,0.67,0.21,0.31
D7,3,93,75,0.55,0.17,0.41,0.79,0.51,0.41,0.3
D11,22,88,48,0.97,0.02,0.34,0.38,0.7,0.05,0.39
D4,14,57,40,1.0,0.61,0.79,0.58,0.46,0.58,0.4
D7,10,62,49,0.12,0.92,0.41,0.62,0.12,0.48,0.3
D11,2,39,50,0.85,0.11,0.68,0.82,0.18,0.67,0.26
D3,2,101,86,0.5,0.21,0.6,0.74,0.25,0.54,0.32
D6,15,69,103,0.39,0.37,0.98,0.57,0.06,0.4,0.3
D12,4,117,55,0.61,0.81,0.94,0.67,0.71,0.74,0.55
D2,20,49,102,0.06,0.27,0.43,0.75,0.37,0.03,0.16
D10,9,239,100,0.51,0.88,0.72,0.13,0.09,0.54,0.56
D9,18,160,91,0.87,0.05,0.83,0.2,0.82,0.11,0.47
D5,3,87,90,0.21,0.94,0.9,0.69,0.68,0.44,0.34
D6,18,190,55,0.43,0.56,0.07,0.85,0.45,0.79,0.63
D12,10,97,97,0.94,0.66,0.3,0.41,0.25,0.14,0.23
D12,1,109,46,0.43,0.37,0.32,0.98,0.15,0.94,0.48
D12,9,148,100,0.36,0.78,0.43,0.22,0.46,0.89,0.35
D12,10,89,92,0.44,0.17,0.17,0.42,0.89,0.41,0.21
D4,19,222,60,0.52,0.05,0.5,0.38,0.19,0.01,0.75
D11,15,99,59,0.63,0.4,0.66,0.93,0.57,0.79,0.42
D10,18,154,89,0.8,0.85,0.5,0.29,0.96,0.88,0.4
D7,22,94,100,0.45,0.75,0.67,0.47,0.64,0.17,0.29
D12,23,45,85,0.82,0.52,0.07,0.19,0.44,0.92,0.11
D9,10,41,118,0.53,0.57,0.88,0.52,0.72,0.91,0.22
D7,13,38,60,0.34,0.13,0.94,0.86,0.82,0.47,0.28
D1,1,45,71,0.66,0.84,0.62,0.3,0.59,0.8,0.23
D1,22,60,129,0.72,0.79,0.88,0.81,0.87,0.44,0.24
D9,4,42,76,0.56,0.66,0.13,0.91,0.51,0.56,0.12
D11,4,32,118,0.06,0.47,0.8,0.07,0.83,0.32,0.19
D9,18,195,51,0.17,0.96,0.12,0.76,0.95,0.16,0.7
D4,20,35,102,0.29,0.88,0.41,0.26,0.5,0.75,0.14
D9,11,47,106,0.28,0.64,0.32,0.18,0.61,0.0,0.14
D3,17,164,90,0.67,0.37,0.59,0.6,0.61,0.58,0.44
D7,3,96,60,0.02,0.62,0.3,0.71,0.78,0.86,0.34
D6,21,104,61,0.76,0.58,0.64,0.39,0.82,0.22,0.42
D8,16,73,127,0.27,0.39,0.37,0.04,0.03,0.33,0.17
D11,9,201,108,0.31,0.31,0.86,0.91,0.73,0.59,0.49
D9,19,170,97,0.53,0.41,0.63,0.73,0.78,0.25,0.43
D5,5,85,125,0.22,0.57,0.22,0.27,0.7,0.85,0.16
D1,13,73,69,0.88,0.43,0.34,0.5,0.71,0.37,0.25
D3,10,47,66,0.09,0.26,0.85,0.03,0.04,0.58,0.28
D10,10,84,103,0.44,0.76,0.39,0.34,0.44,0.23,0.22
D12,17,184,53,0.85,0.53,0.54,0.52,0.82,0.04,0.72
D8,22,118,39,0.62,0.07,0.65,0.52,0.93,0.17,0.66
D11,21,66,104,0.29,0.37,0.35,0.21,0.23,0.05,0.18
D6,17,143,87,0.42,0.88,0.29,0.78,0.58,0.47,0.35
D8,23,31,74,0.71,0.76,0.48,0.3,0.8,0.59,0.16
D9,22,36,109,0.97,0.32,0.21,0.58,0.75,0.04,0.1
D4,10,54,95,0.89,0.94,0.28,0.27,0.62,0.09,0.15
D1,20,94,70,0.34,0.08,0.06,0.43,0.02,0.49,0.25
D1,11,86,58,1.0,0.96,0.3,0.21,0.72,0.8,0.32
D10,4,37,49,0.0,0.25,0.32,0.63,0.77,0.63,0.19
D4,22,33,63,0.03,0.01,0.96,0.43,0.72,0.1,0.27
D12,8,178,103,0.82,0.43,0.59,0.02,0.77,0.89,0.42
D7,8,160,107,0.2,0.36,0.79,0.03,0.43,0.92,0.41
D2,21,61,87,0.06,0.54,0.05,0.47,0.99,0.32,0.14
D3,9,211,79,0.24,0.8,0.11,0.18,0.77,0.62,0.5
D1,21,44,92,0.43,0.84,0.81,0.59,0.58,0.49,0.23
D5,18,148,57,0.73,0.4,0.62,0.41,0.93,0.94,0.58
D1,0,111,37,0.62,0.43,0.19,0.65,0.91,0.51,0.57
D8,6,114,32,0.24,0.15,0.4,0.95,0.81,0.96,0.7
D1,3,86,115,0.5,0.05,0.54,0.53,0.56,0.2,0.23
D11,0,100,129,0.93,0.64,0.84,0.79,0.53,0.35,0.29
D1,14,36,43,0.82,0.06,0.06,0.75,0.33,0.78,0.16
D2,7,244,58,0.32,0.73,0.6,0.92,0.25,0.78,0.86
D2,11,81,123,0.98,0.54,0.72,0.21,0.51,0.73,0.25
D12,21,40,105,0.71,0.2,0.98,0.83,0.58,0.86,0.25
D6,21,56,125,0.06,0.54,0.81,0.91,0.24,0.7,0.23
D7,17,140,69,0.04,0.18,0.28,0.39,0.92,0.64,0.42
D5,14,54,82,0.17,0.44,0.71,0.31,0.56,0.46,0.25
D1,16,66,104,0.73,0.8,0.76,0.95,0.53,0.47,0.25
D1,13,71,37,0.18,0.46,0.73,0.63,0.44,0.41,0.47
D3,13,23,56,0.51,0.15,0.82,0.38,0.06,0.62,0.22
D2,17,173,89,0.09,0.72,0.9,0.79,0.88,0.41,0.51
D5,19,231,96,0.92,0.19,0.1,0.3,0.32,0.15,0.45
D12,17,223,93,0.34,0.74,0.1,0.18,0.64,0.11,0.45
D10,15,67,120,0.91,0.48,0.8,0.54,0.61,0.92,0.25
D6,0,104,81,0.94,0.45,0.25,0.57,0.58,0.02,0.28
D7,22,103,97,0.01,0.85,0.06,0.83,0.53,0.11,0.2
D4,10,30,106,0.46,0.71,0.4,0.46,0.18,0.45,0.12
D7,14,92,33,0.02,0.03,0.82,0.81,0.28,0.26,0.64
D11,11,95,102,0.91,0.3,0.13,0.31,0.52,0.41,0.19
D8,7,206,97,0.52,0.87,0.67,0.58,0.79,0.12,0.5
D11,21,45,106,0.07,0.02,0.0,0.21,0.43,0.13,0.08
D1,19,168,77,0.11,0.55,0.11,0.39,0.2,0.8,0.41
D6,5,77,48,0.38,0.73,0.35,0.86,0.09,0.76,0.35
D8,2,107,112,0.94,0.62,0.08,0.22,0.66,0.1,0.19
D5,23,96,106,0.69,0.76,0.85,0.81,0.42,0.67,0.32
D4,12,77,57,0.87,0.73,0.86,0.28,0.13,0.61,0.4
D2,12,85,39,0.37,0.69,0.76,0.03,0.67,0.71,0.53
D6,1,105,106,0.04,0.82,0.24,0.11,0.21,0.47,0.22
D6,4,77,102,0.97,0.65,0.52,0.75,0.51,0.27,0.23
D11,16,116,43,0.02,0.4,0.18,0.26,0.31,0.66,0.51
D1,5,103,44,0.95,0.47,0.28,0.65,0.93,0.37,0.47
D9,1,115,62,0.37,0.72,0.52,0.7,0.23,0.22,0.43
D12,3,36,53,0.01,0.88,0.74,0.35,0.42,0.41,0.26
D11,21,49,91,0.69,0.27,0.09,0.47,0.96,0.76,0.11
D6,10,32,91,0.98,0.34,0.3,0.4,0.32,0.48,0.12
D3,7,176,97,0.97,0.93,0.93,0.95,0.64,0.3,0.5
D4,11,35,95,0.16,0.58,0.43,0.32,0.32,0.83,0.14
D12,7,210,81,0.18,0.18,0.94,0.18,0.11,0.88,0.64
D11,10,62,37,0.57,0.66,0.99,0.37,0.63,0.43,0.48
D4,21,22,41,0.64,0.99,0.53,0.67,0.92,0.37,0.19
D3,19,213,65,0.74,0.82,0.29,0.7,0.45,0.61,0.64
D10,7,207,65,0.18,0.75,0.79,0.92,0.63,0.06,0.72
D3,7,188,102,0.96,0.21,0.16,0.88,0.61,0.69,0.36
D3,16,68,92,0.64,0.88,0.25,0.29,0.42,0.78,0.18
D4,19,191,92,0.85,0.53,0.78,0.46,0.61,0.4,0.52
D7,19,178,100,0.54,0.89,0.43,0.75,0.26,0.17,0.4
D4,22,52,59,0.41,0.33,0.2,0.92,0.38,0.03,0.19
D9,15,78,105,0.98,0.06,0.65,0.34,0.44,0.64,0.25
D1,13,34,111,0.58,0.48,0.73,0.44,0.86,0.27,0.19
D8,10,111,52,0.87,0.27,0.13,0.9,0.35,0.46,0.41
D7,6,97,123,0.95,0.72,0.28,0.36,0.64,0.39,0.19
D2,15,116,74,0.68,0.96,0.22,0.48,0.21,0.17,0.32
D8,12,81,108,0.55,0.69,0.38,0.9,0.25,0.51,0.2
D1,14,90,44,0.0,0.89,0.76,0.8,0.65,0.46,0.5
D11,23,65,93,0.04,0.45,0.71,0.24,0.76,0.62,0.26
D12,15,65,85,0.2,0.77,0.66,0.32,0.46,0.25,0.26
D9,20,63,104,0.19,0.84,0.01,0.35,0.34,0.21,0.11
D9,22,48,124,0.25,0.71,0.14,0.91,0.91,0.81,0.1
D2,23,81,118,0.3,0.51,0.22,1.0,0.14,0.7,0.16
D7,8,181,103,0.36,0.63,0.27,0.77,0.72,0.77,0.37
D10,2,107,86,0.42,0.7,0.15,0.48,0.69,0.12,0.25
D3,18,212,51,0.1,0.25,0.41,0.01,0.69,0.22,0.82
D7,19,151,69,0.04,0.81,0.08,0.7,0.94,0.58,0.41
D12,4,52,101,0.67,0.95,0.75,0.39,0.73,0.86,0.23
D10,9,154,95,0.54,0.47,0.79,0.63,0.3,0.89,0.44
D9,16,92,127,0.44,0.7,0.57,0.61,0.35,0.83,0.23
D4,14,76,116,0.63,0.74,0.09,0.48,0.39,0.04,0.13
D12,22,24,84,0.83,0.66,0.89,0.94,0.03,0.82,0.21
D1,7,190,74,0.43,0.55,0.97,0.02,0.91,0.9,0.64
D2,14,27,45,0.64,0.88,0.2,0.71,0.07,0.06,0.14
D1,20,67,90,0.95,0.45,0.7,0.41,0.7,0.42,0.26
D12,13,34,94,0.84,0.06,0.84,0.71,0.73,0.54,0.22
D5,19,151,52,0.43,0.84,0.54,0.68,0.84,0.23,0.62
D5,6,73,43,0.64,0.67,0.32,0.01,0.55,0.52,0.36
D11,20,55,111,0.18,0.85,0.48,0.29,0.73,0.89,0.18
D7,22,101,96,0.56,0.14,0.51,0.19,0.3,0.87,0.28
D9,11,29,78,0.98,0.03,0.4,0.17,0.75,0.94,0.14
D9,16,84,120,0.52,0.93,0.93,0.73,0.34,0.48,0.3
D3,16,76,56,0.93,0.15,0.74,0.24,0.9,0.41,0.38
D3,9,204,98,0.41,0.81,0.24,0.47,0.16,0.67,0.42
D3,18,134,56,1.0,0.82,0.59,0.25,0.32,0.42,0.54
D4,13,102,86,0.58,0.71,0.69,0.58,0.5,0.04,0.34
D8,10,112,44,0.04,0.13,0.14,0.72,0.78,0.72,0.48
D6,1,118,105,0.59,0.67,0.36,0.33,0.75,0.28,0.27
D8,17,159,69,0.27,0.89,0.91,0.6,0.21,0.05,0.58
D1,6,56,32,0.03,0.43,0.57,0.82,0.14,0.02,0.41
D8,11,92,70,0.82,0.41,0.22,0.09,0.3,0.93,0.28
D4,1,58,55,0.28,0.44,0.12,0.71,0.48,0.25,0.21
D11,19,131,72,0.8,0.08,0.52,0.32,0.54,0.45,0.42
D1,17,152,108,0.29,0.89,0.55,0.12,0.43,0.95,0.35
D8,5,104,45,0.19,0.87,0.33,0.55,0.66,0.47,0.47
D4,23,28,42,0.97,1.0,0.63,0.23,0.43,0.08,0.23
D6,9,157,76,0.36,0.59,0.07,0.82,0.95,0.55,0.38
D8,19,180,101,0.6,0.75,0.15,0.04,0.26,0.09,0.35
D4,14,100,67,0.61,0.2,0.55,0.1,0.63,0.1,0.37
D3,4,119,94,0.56,0.67,0.06,0.52,0.61,0.85,0.24
D9,19,147,100,0.91,0.65,0.88,0.59,0.28,0.29,0.43
D3,2,28,42,0.67,0.9,0.14,0.73,0.41,0.68,0.14
D9,4,59,84,0.4,0.83,0.67,0.26,0.37,0.51,0.25
D2,7,238,64,0.86,0.94,0.39,0.84,0.17,0.22,0.74
D2,7,172,93,0.18,0.87,0.4,0.95,0.48,0.52,0.41
D2,7,239,53,0.54,0.87,0.76,0.5,0.39,0.07,0.94
D6,11,52,53,0.95,0.06,0.5,0.76,0.18,0.35,0.27
D3,23,55,39,0.63,0.85,0.73,0.52,0.45,0.52,0.38
D9,22,119,49,0.82,0.61,0.51,0.07,0.42,0.23,0.53
D4,7,234,94,0.65,0.38,0.59,0.33,0.13,0.66,0.56
D1,10,94,41,0.84,0.06,0.76,0.09,0.13,0.05,0.55
D4,13,81,47,0.94,0.68,0.61,0.99,0.65,0.48,0.42
D1,7,223,93,0.27,0.33,0.62,0.23,0.71,0.71,0.54
D5,23,82,113,0.17,0.47,0.79,0.64,0.94,0.43,0.27
D4,9,154,61,0.48,0.68,0.95,0.28,0.09,0.87,0.63
D8,6,40,54,0.7,0.91,0.38,0.65,0.12,0.63,0.2
D8,16,30,93,0.23,0.83,0.58,0.21,0.05,0.96,0.16
D7,3,92,79,0.0,0.45,0.09,0.79,0.53,0.28,0.23
D3,12,81,118,0.34,0.39,0.36,0.11,0.62,0.94,0.19
D1,3,118,125,0.97,0.24,0.41,0.9,0.4,0.61,0.25
D1,4,68,43,0.69,0.37,0.84,0.84,0.8,0.75,0.43
D12,21,20,110,0.4,0.11,0.51,0.68,0.69,0.9,0.13
D11,3,44,88,0.19,0.97,0.73,0.07,0.99,0.55,0.22
D3,17,201,54,0.36,0.57,0.02,0.21,0.14,0.86,0.67
D6,5,24,128,0.17,0.13,0.46,0.86,0.06,0.54,0.12
D7,23,38,52,0.11,0.35,0.9,0.12,0.27,0.6,0.29
D6,23,28,123,0.91,0.55,0.22,0.16,0.02,0.45,0.08
D6,22,69,45,1.0,0.53,0.03,0.54,0.93,0.15,0.28
D6,21,52,31,0.16,0.04,0.43,0.27,0.3,0.55,0.37
D3,1,33,30,0.05,0.95,0.7,0.22,0.55,0.98,0.32
D6,22,109,87,0.33,0.28,0.45,0.58,0.32,0.79,0.31
D8,10,108,45,0.46,0.02,0.46,0.37,0.25,0.75,0.51
D11,13,98,119,0.2,0.08,0.67,0.14,0.15,0.64,0.27
D11,4,66,73,0.3,0.58,0.25,0.53,0.32,0.35,0.21
D2,5,99,43,0.2,0.14,0.75,0.39,0.62,0.17,0.55
D5,9,222,73,0.77,0.04,0.15,0.73,0.97,0.22,0.57
D1,7,240,104,0.71,0.38,0.4,0.1,0.56,0.01,0.49
D12,13,34,112,0.63,0.62,0.66,0.62,0.53,0.67,0.17
D1,23,91,63,0.39,0.11,0.83,0.44,0.04,0.81,0.41
D5,2,21,56,0.91,0.31,0.79,0.41,0.84,0.27,0.21
D12,11,93,128,0.97,0.42,0.72,0.23,0.04,0.09,0.26
D3,15,106,101,0.17,0.16,0.36,0.03,0.91,0.34,0.25
D4,22,111,52,0.22,0.51,0.12,0.85,0.54,0.29,0.4
D3,16,87,43,0.53,0.09,0.22,0.33,0.17,0.45,0.4
D1,0,82,122,0.09,0.05,0.86,0.68,0.45,0.26,0.28
D1,22,84,97,0.44,0.52,0.86,0.95,0.99,0.34,0.31
D12,9,192,81,0.58,0.25,0.95,0.56,0.31,0.91,0.6
D12,22,116,119,0.52,0.1,0.08,0.4,0.27,0.33,0.19
D5,9,210,88,0.33,0.42,0.54,0.27,0.12,0.79,0.53
D6,20,106,93,0.54,0.92,0.65,0.93,0.6,0.63,0.32
D3,23,51,108,0.96,0.72,0.71,0.68,0.09,0.34,0.21
D12,1,32,95,0.21,0.82,0.64,0.67,0.77,0.82,0.18
D9,8,148,73,0.65,0.87,0.77,0.43,0.92,0.6,0.5
D5,21,107,40,0.04,0.97,0.36,0.85,0.93,0.01,0.54
D8,12,78,115,0.07,0.76,0.18,0.71,0.11,0.07,0.16
D1,15,34,39,0.55,0.61,0.2,0.28,0.56,0.75,0.19
D5,17,170,76,0.1,0.37,0.01,0.6,0.1,0.45,0.4
D3,18,189,58,0.02,0.18,0.35,0.43,0.57,0.41,0.65
